,Unnamed: 0,category,url,question
0,909,aritmia,/komunitas/topic/perut-kembung-kadang-sesekali-disertai-hentakan-di-dada-hentakan-denyut-jantung," perkenalkan nama saya diki usia 33 thn. saya mempunyai keluhan yg saya rasakan sudah lama pertama sy rasakan pada tahun 2013. sesekali suka ada hentakan di dada serasa seperti hentakan di jantung..keluhan ini hilang timbul...kadang timbul kadang gak pernah timbul sama sekali. biasanya kambuhnya berbarengan dengan perut kembung. pernah konsultasi ke  ka asam lambung. karena belum sembuh sembuh itu yg kadang bikin saya cemas. sy sudah mulai olah raga rutin tiap pagi seperti jalan pagi dan joging. pernah juga pas olahraga hentakan dada tersebut sesekali kambuh disertai perut agak kembung. mohon pencerahann ! terimakasih sebelumnya.  - diki rusdianto 33 thn
"
1,2303,aritmia,/komunitas/topic/kram-dada-hingga-ketiak,"    kadang kadang ini saya kram otot dada hingga payudara sayaa sakit jgara gara saat berboncengan motor tiba tiba ngerem mendadak dan saya merasa dada saya sakit hingga ketiak kanan dan kiri saya,  yah apa ada kelainan... terimakasih."
2,2308,aritmia,/komunitas/topic/apa-obat-untuk-jantung-4,"  , knpjantung saya berdetak tidak beraturan seperti pindah-pindah.😢😧

awalnya saya melakukan olahraga berat lalu saya meminum es terlalu bnyk padahal saya masih sangat cepat,
apakah bahaya??
saya tidak mw di operasi 😯😥😧😷
saya mw jadi polisi"
3,475,aritmia,/komunitas/topic/antimo-campur-panther-penyebab-jantung-berdetak-kencang,"  yg terhormat,,, mengenai obat antimo yg di campur minuman bersoda (panther), apakah dampak dri kejadian tersebut bisa di atasi ? soal nya adek saya mengalami jantung berdetak kencang sehingga dia lemas tak berdaya,,,,, apakah kejadian seperti itu bisa di atasi atau tidak  ? dan mohon beri solusi agar adek saya tidak mengalami jantung yg berdetak kencang.
"
4,2254,aritmia,/komunitas/topic/detak-jantung-25,"saya perempuan 20 tahun kemaren lusa tiba tiba saya merasa seperti darah saya dari atas turun ke jantung kemudian biasa saja lalu terasa lagi kemudian begitu terus sampai sekarang. sekiranya  ya? saat saya pegang jantung saya, rasanya seperti detak biasa kemudian saat darah terasa turun jantung saya terasa dug dengan keras tiba-tiba. saya nanti jawabannya. "
5,2287,aritmia,/komunitas/topic/irama-jantung-tidak-beraturan," umur saya 20 thn udah 4 bulan terakhir saya kena penyakit lambung yg micu asam lambung saya naik terus tapi 2 bulan terakhir saya kena gangguan irama jantung saya sudah ekg hasilnya synus arithmia tapi akhir akhir ini saya rasa detaknya tambah tidak beraturan seperti ada skip beat , detak tambahan dan detak yang sangat kencang sekali di tengah irama normal biasanya terjadi setelah saya duduk lalu berdiri apa solusinya ?"
6,882,aritmia,/komunitas/topic/jantung-187," sejak 3 hari terakhir ini jantung saya sering berdebar tiba² itu knp ? padahal saya sering olahraga
"
7,432,aritmia,/komunitas/topic/jantung-berdebar-cepat-dan-dada-terasa-berat170b0d," , kalau misalnya jantung berdebar cepat secara tiba-tiba  ya? kadang dada saya juga terasa berat, kadang juga tangan sampe tremor.
kalau dibilang sakit enggak, cuman rada risih dan datangnya juga gak selalu tentu.
terimakasih..
"
8,494,aritmia,/komunitas/topic/aritmia-18,"
saya saya terkena aritmia, ini juga berdasarkan identifikasi  disalah satu rumah sakit ketika saya periksa tahun lalu bahwa saya terkena aritmia. saat itu saya diberi obat 3 butir, dan detak jantung saya kembali normal. setahun berlalu tepat nya seminggu yang lalu detak jantung saya kembali tidak seirama. apakah ini karena aritmia saya kambuh? apa penyebab nya? hanya saja detakan nya jauh lebih agak tenang (tidak seperti tahun lalu, sangat berdebar dan terkadang berdetak pelan, sangat mengganggu). sekarang detakan nya kadang ""menghentak"" namun tidak kencang, tapi sangat terasa kalau tidak ""seirama"".
adakah rekomendasi obat yang mesti saya konsumsi, dan pencegahana nya.
mohon penjelasan nya.

thanks
"
9,2291,aritmia,/komunitas/topic/jantung-98,"mlm  sy umur 17tahun. sy mengalami jantung sy terasa berdebar dan beberapa bulan ini saat mau tidur denyut jantung sy terasa keras dan kencang hingga terasa denyutan nya di kepala , dan sampai berdentum di kuping. sy emg perokok dan suka kopi . gmn infon ini menggangu sy untuk tidur, makasih ."
